Date,State,Dead,Injured,Total
7/6/2021,Ohio,0,6,6
7/6/2021,Florida,3,3,6
6/6/2021,Florida,3,6,9
6/6/2021,Missouri,0,4,4
6/6/2021,North Carolina,0,4,4
6/6/2021,Oregon,4,0,4
6/6/2021,California,0,5,5
6/6/2021,Utah,1,4,5
6/6/2021,Illinois,0,8,8
5/6/2021,Indiana,2,2,4
5/6/2021,Louisiana,0,8,8
4/6/2021,Michigan,1,3,4
2/6/2021,Delaware,1,3,4
2/6/2021,Ohio,0,4,4
2/6/2021,Arkansas,0,4,4
2/6/2021,Ohio,0,6,6
31/05/2021,Missouri,0,4,4
31/05/2021,Ohio,1,4,5
31/05/2021,New York,0,5,5
30/05/2021,Illinois,0,4,4
30/05/2021,Alabama,1,4,5
30/05/2021,Florida,3,20,23
29/05/2021,Texas,2,2,4
28/05/2021,Missouri,1,3,4
28/05/2021,Florida,1,6,7
27/05/2021,North Carolina,0,5,5
26/05/2021,California,10,0,10
26/05/2021,Illinois,0,4,4
24/05/2021,Michigan,2,2,4
24/05/2021,Ohio,4,0,4
24/05/2021,New York,0,4,4
23/05/2021,Illinois,0,4,4
23/05/2021,New Jersey,0,5,5
23/05/2021,Virginia,0,4,4
23/05/2021,Ohio,3,8,11
23/05/2021,Illinois,0,4,4
22/05/2021,Texas,0,4,4
22/05/2021,Ohio,1,5,6
22/05/2021,Minnesota,2,8,10
22/05/2021,Indiana,1,4,5
22/05/2021,South Carolina,1,14,15
22/05/2021,New Jersey,2,12,14
21/05/2021,New York,1,5,6
21/05/2021,New Jersey,2,4,6
20/05/2021,Indiana,0,4,4
18/05/2021,California,2,5,7
18/05/2021,California,1,4,5
17/05/2021,Oregon,0,4,4
16/05/2021,Ohio,1,3,4
16/05/2021,Georgia,0,4,4
16/05/2021,Michigan,0,5,5
16/05/2021,Georgia,0,4,4
16/05/2021,Alabama,1,4,5
16/05/2021,Georgia,1,5,6
15/05/2021,New York,1,4,5
15/05/2021,"Washington, D.C.",1,3,4
15/05/2021,Illinois,2,3,5
14/05/2021,Pennsylvania,0,4,4
13/05/2021,"Washington, D.C.",0,4,4
13/05/2021,Georgia,2,2,4
13/05/2021,Rhode Island,0,9,9
12/5/2021,Georgia,1,3,4
11/5/2021,Maryland,0,4,4
10/5/2021,Alabama,0,7,7
9/5/2021,Colorado,7,0,7
9/5/2021,Arizona,1,7,8
8/5/2021,California,0,4,4
8/5/2021,California,0,4,4
8/5/2021,Michigan,0,4,4
8/5/2021,Maryland,4,1,5
7/5/2021,Missouri,2,3,5
6/5/2021,New Jersey,0,5,5
5/5/2021,Illinois,0,4,4
3/5/2021,Michigan,1,4,5
2/5/2021,Ohio,0,4,4
2/5/2021,Pennsylvania,1,3,4
2/5/2021,Maryland,1,3,4
2/5/2021,Illinois,0,5,5
2/5/2021,Minnesota,0,4,4
1/5/2021,Florida,1,3,4
1/5/2021,Massachusetts,0,5,5
1/5/2021,Wisconsin,3,1,4
1/5/2021,New York,1,4,5
1/5/2021,Louisiana,2,4,6
1/5/2021,Georgia,1,3,4
1/5/2021,Delaware,0,4,4
29/04/2021,Georgia,1,4,5
28/04/2021,Florida,0,5,5
28/04/2021,North Carolina,5,0,5
27/04/2021,Alabama,1,4,5
27/04/2021,Virginia,2,3,5
26/04/2021,Oregon,0,7,7
25/04/2021,Louisiana,0,5,5
25/04/2021,Alabama,0,4,4
25/04/2021,Arkansas,1,3,4
25/04/2021,Missouri,1,3,4
25/04/2021,Texas,0,4,4
24/04/2021,Louisiana,0,5,5
22/04/2021,California,1,4,5
19/04/2021,United States Virgin Islands,2,2,4
19/04/2021,Texas,2,3,5
19/04/2021,Georgia,0,5,5
18/04/2021,Alabama,1,4,5
18/04/2021,Louisiana,0,5,5
18/04/2021,Michigan,1,5,6
18/04/2021,Wisconsin,3,2,5
17/04/2021,Louisiana,0,9,9
17/04/2021,Ohio,1,5,6
16/04/2021,Michigan,0,4,4
15/04/2021,Indiana,9,7,16
15/04/2021,"Washington, D.C.",0,4,4
15/04/2021,Florida,0,5,5
15/04/2021,Illinois,0,4,4
13/04/2021,Maryland,0,4,4
12/4/2021,Illinois,1,3,4
12/4/2021,Tennessee,1,3,4
12/4/2021,Georgia,1,3,4
11/4/2021,Kansas,1,3,4
11/4/2021,Washington,0,5,5
10/4/2021,Missouri,1,3,4
10/4/2021,Tennessee,1,4,5
10/4/2021,Connecticut,0,4,4
10/4/2021,Michigan,0,4,4
9/4/2021,Texas,1,5,6
8/4/2021,Texas,1,5,6
7/4/2021,Wisconsin,2,2,4
7/4/2021,South Carolina,7,0,7
6/4/2021,Michigan,1,3,4
6/4/2021,New York,4,0,4
5/4/2021,Illinois,0,7,7
5/4/2021,Maryland,0,5,5
5/4/2021,Texas,6,0,6
4/4/2021,Louisiana,0,6,6
4/4/2021,Alabama,1,6,7
4/4/2021,Texas,0,4,4
3/4/2021,Alabama,0,5,5
3/4/2021,Florida,0,7,7
3/4/2021,North Carolina,3,4,7
31/03/2021,California,4,2,6
31/03/2021,"Washington, D.C.",2,3,5
30/03/2021,Texas,0,4,4
28/03/2021,Maryland,5,1,6
28/03/2021,Illinois,0,4,4
28/03/2021,Texas,0,4,4
28/03/2021,Ohio,0,7,7
27/03/2021,Illinois,1,3,4
27/03/2021,Illinois,0,4,4
27/03/2021,Mississippi,0,6,6
27/03/2021,Tennessee,3,2,5
26/03/2021,Pennsylvania,0,7,7
26/03/2021,Virginia,2,8,8
26/03/2021,Illinois,1,7,8
23/03/2021,Georgia,0,4,4
23/03/2021,Alabama,2,2,4
22/03/2021,Michigan,1,3,4
22/03/2021,Ohio,2,2,4
22/03/2021,Colorado,10,2,12
20/03/2021,Texas,0,5,5
20/03/2021,Texas,1,7,8
20/03/2021,Pennsylvania,1,4,5
18/03/2021,Oregon,0,4,4
18/03/2021,Louisiana,0,4,4
17/03/2021,California,0,5,5
16/03/2021,Arizona,4,1,5
16/03/2021,Georgia,8,1,9
15/03/2021,Indiana,1,4,5
14/03/2021,Florida,0,4,4
14/03/2021,Illinois,0,4,4
14/03/2021,Illinois,2,13,15
13/03/2021,New York,0,5,5
13/03/2021,Virginia,2,4,6
13/03/2021,Indiana,4,1,5
13/03/2021,Florida,1,3,4
12/3/2021,North Carolina,0,4,4
11/3/2021,New Mexico,1,3,4
11/3/2021,South Carolina,1,4,5
11/3/2021,Pennsylvania,2,2,4
10/3/2021,Pennsylvania,0,4,4
10/3/2021,Texas,3,1,4
8/3/2021,Florida,1,3,4
7/3/2021,Mississippi,0,4,4
6/3/2021,California,2,3,5
6/3/2021,North Carolina,1,4,5
5/3/2021,California,1,4,5
4/3/2021,"Washington, D.C.",0,5,5
3/3/2021,Pennsylvania,1,3,4
28/02/2021,Texas,0,4,4
28/02/2021,Ohio,4,2,6
28/02/2021,Indiana,0,4,4
28/02/2021,South Carolina,0,4,4
28/02/2021,Louisiana,0,5,5
28/02/2021,Delaware,0,4,4
27/02/2021,Mississippi,0,4,4
27/02/2021,Mississippi,2,3,5
26/02/2021,California,1,3,4
26/02/2021,Texas,1,5,6
26/02/2021,Louisiana,0,4,4
21/02/2021,North Carolina,0,4,4
21/02/2021,Missouri,1,4,5
20/02/2021,Pennsylvania,1,3,4
20/02/2021,Illinois,1,4,5
20/02/2021,Louisiana,3,2,5
19/02/2021,Colorado,1,3,4
18/02/2021,Louisiana,1,3,4
17/02/2021,Pennsylvania,0,8,8
16/02/2021,Florida,3,1,4
13/02/2021,California,0,6,6
13/02/2021,Indiana,0,4,4
13/02/2021,North Carolina,1,3,4
13/02/2021,California,0,6,6
